,0,1,2,3,4,5,6,7,8,9,10
0,title,location,price,guests,bedrooms,beds,bathrooms,amenity_1,amenity_2,amenity_3,amenity_4
0, 5 Glamorous Apt. for Healthcare & Grad students, Baltimore,38,2  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
1, Cozy Cute & Clean Mstr Bedroom near Hopkins & UMD, Baltimore,26,1  , 1  , 1  , 1.5 baths,Wifi , Kitchen , Heating,None
2, Braddish Cozy Room2  Shared Living Space, Baltimore,17,1  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
3, Luxury Apartment by the Train Station, Baltimore,60,3  , 1  , 1  , 1 bath,Kitchen , Heating,None,None
4, Spacious  Private  Well Appointed Long Term Stay, Baltimore,20,2  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
5, Historic Loft in Downtown Baltimore, Baltimore,41,4  , Studio , 1  , 1 bath,Wifi , Kitchen , Heating,None
6, Charming Colonial Twin BdRm in Historic District, Baltimore,19,1  , 1  , 0  , 1.5 shared baths,Wifi , Free parking , Kitchen , Heating
7, Cozy Catonsville Suite, Catonsville,49,2  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
8, Private studio near bayview for professionals, Baltimore,60,2  , Studio , 1  , 1 bath,Wifi , Kitchen , Heating,None
9, Cozy Private Condo in Mt. Vernon w  Rooftop, Baltimore,58,2  , 1  , 1  , 1 bath,Kitchen , Heating,None,None
10, Private 2 bedroom apt., Baltimore,60,4  , 2  , 2  , 1 bath,Wifi , Free parking , Kitchen , Heating
11, Beautiful  Quiet  Well Appointed Long Term Stay, Baltimore,20,1  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
12, Luxe Private Getaway in the Heart of Baltimore!, Baltimore,198,8  , 4  , 5  , 3.5 baths,Wifi , Free parking , Kitchen , Heating
13, Downtown Modern Studio Apartment   Free Parking, Baltimore,50,4  , Studio , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
14, Clean and bright spare bedroom for rent, Catonsville,20,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
15,  FEEL THE CHARM IN THE CITY! CLOSE TO EVERYTHING! , Baltimore,50,3  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating,None
16, 4 Blocks from Johns Hopkins 2 Beds   2.5 Baths, Baltimore,84,4  , 2  , 2  , 2.5 baths,Wifi , Free parking , Kitchen , Heating
17, Destination: Baltimore   Reserved thru July 2021, Baltimore,85,2  , 2  , 2  , 2.5 baths,Wifi , Free parking , Kitchen , Heating
18, Awesome studio tucked away & Centrally located !, Baltimore,60,3  , Studio , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
19, 2 Bed 2 Bath in Riverside, Baltimore,48,3  , 2  , 2  , 2 baths,Wifi , Free parking , Kitchen , Heating
0, Spacious  Private  Well Appointed Long Term Stay, Baltimore,20,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Washer , Dryer
1, Federal hill  Durst st. efficiency  studio, Baltimore,56,4  , 2  , 0  , 1 bath,Wifi , Air conditioning , Pets allowed , Washer
2, Industrial studio close to everything, Baltimore,50,2  , Studio , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Breakfast
3, Lovely  convenient condo in perfect location, Baltimore,55,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Elevator
4, Braddish Furnished Basement Bedroom W Private Bath, Baltimore,25,1  , 1  , 1  , 2.5 shared baths,Wifi , Air conditioning , Washer , Dryer
5, gm, Baltimore,60,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Kitchen
6, Industrial Chic Apt in Fed Hill (free parking), Baltimore,82,6  , 2  , 3  , 1.5 baths,Self check-in , Wifi , Air conditioning , Elevator
7, Entire lovely Studio Besides JHU Homewood campus, Baltimore,56,2  , Studio , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Washer
8, 5 Glamorous Apt. for Healthcare & Grad students, Baltimore,38,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Washer , Dryer
9, Cozy room with Private bath and & Private deck., Baltimore,44,2  , 1  , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Indoor fireplace
