,0,1,2,3,4,5,6,7,8,9,10,11,12
0,title,type,location,price,guests,bedrooms,beds,bathrooms,amenity_1,amenity_2,amenity_3,amenity_4,link
0, Huge Stylish Studio in Theatre District   Evonify,Entire apartment, Downtown, 69,4  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Pets allowed,https://airbnb.com/rooms/47090495?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
1, Sweet 1BR with Parking steps from Union Square ,Entire apartment, Somerville, 57,4  , 1  , 2  , 1 bath,Wifi , Kitchen , Free parking , Pets allowed,https://airbnb.com/rooms/45722399?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
2, Book the Semester,Entire condominium, Fenway/Kenmore, 61,2  , 1  , 1  , 1 bath,Air conditioning , Kitchen , Washer , Dryer,https://airbnb.com/rooms/43798387?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
3, Lovely 2 bed in South End   Walk to everything!,Entire condominium, South End, 49,2  , 2  , 2  , 1 bath,Kitchen , Pets allowed , Washer , Dryer,https://airbnb.com/rooms/46733329?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
4, Warm Room w Charm of late 19th Century Victorian,Private room, Dorchester, 30,2  , 1  , 0  , 1 shared bath,Kitchen , Washer , Dryer,None,https://airbnb.com/rooms/46529051?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
5, Master bedroom with Private bath   Parking !,Private room, Roxbury, 55,1,1,1,1,Air conditioning , Kitchen , Free parking , Indoor fireplace,https://airbnb.com/rooms/46734270?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
6, Brownstone in the heart of Back Bay with parking,Entire apartment, Back Bay, 92,2  , 1  , 1  , 2 baths,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/47010621?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
7, Furnished Private Bedroom in Kendall Square (F),Private room, Cambridge, 35,1,1,1,1,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/46964226?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
8, Cambridge 1 Bedroom in Sleek Building,Entire apartment, Cambridge, 85,3  , 1  , 1  , 1 bath,Wifi , Kitchen , Pets allowed , Gym,https://airbnb.com/rooms/45732254?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
9, Small Downstairs Room,Private room, Cambridge, 25,1  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/1200294?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
10, 2 bedroom unit  near Boston College,Entire house, Newton, 50,2  , 2  , 2  , 1 bath,Air conditioning , Kitchen , Free parking , Pets allowed,https://airbnb.com/rooms/42996384?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
11, Smart Apt charming location MIT near Charles River,Entire apartment, Cambridge, 65,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Breakfast,https://airbnb.com/rooms/46872887?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
12, Private studio w  parking by MIT Harvard BU Fenway,Entire condominium, Cambridge, 76,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Free parking , Self check-in,https://airbnb.com/rooms/12318450?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
13, $800 Private bedroom   Walk to Davis Square,Private room, Somerville, 27,1  , 1  , 1  , 1 bath,Kitchen , Free parking , Washer , Dryer,https://airbnb.com/rooms/46814798?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
14, Just renovated huge apt  Water view  Top amenities,Entire apartment, Financial District, 124,4  , 1  , 2  , 2 baths,Wifi , Air conditioning , Kitchen , Elevator,https://airbnb.com/rooms/46786616?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
15, WALK to HARVARD&MIT with MEMORY BED 2,Private room, Cambridge, 42,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning , Self check-in,None,https://airbnb.com/rooms/19345857?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
16, CambridgeBest2 bed 2 bath 1 kitchen apt 1 parking,Entire apartment, Cambridge, 59,3  , 2  , 2  , 2 baths,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/46778268?previous_page_section_name=1000&federated_search_id=9d430230-032f-4b34-9ac9-89648223053e
