,0,1,2,3,4,5,6,7,8,9,10,11,12
0,title,type,location,price,guests,bedrooms,beds,bathrooms,amenity_1,amenity_2,amenity_3,amenity_4,link
0, Cozy Studio Apt  All private  Smart Tv  Full bed,Entire apartment, West Philadelphia,43,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/45695767?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
1, Great location and Competitive price  Quite area!,Private room, Wynnefield Heights,18,1  , 1  , 2  , 1 shared bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/41483173?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
2, 230b1 Roomy and light,Private room, Overbrook Park,19,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/42731749?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
3, Sunny  Bright  Spacious  One bedroom,Private room, North Central,23,1,1,1,1,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/45867970?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
4, Philadelphia Oasis,Entire apartment, Northwest Philadelphia,50,2  , 1  , 1  , 1 bath,Wifi , Hot tub , Indoor fireplace,None,https://airbnb.com/rooms/46833271?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
5, Cozy 1 Bedroom home in Audubon,Entire apartment, Audubon,65,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/45472007?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
6, Cozy  Beautifully Furnished 1BR  Private Backyard,Entire apartment, University City,45,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/46821471?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
7, Budget room #2 Center City South Free Parking,Private room, South Philadelphia,35,2  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/27576626?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
8, Your Home Away From Home #2,Private room, Northwest Philadelphia,24,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/43847019?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
9, Conveniently located townhouse,Entire townhouse, South Philadelphia,33,3  , 2  , 2  , 1.5 baths,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/46418956?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
10, Red Door Unit,Entire apartment, North Central,27,3  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/47103325?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
11, 1bd room with private bathroom in 3b2b aptmt,Entire apartment, University City,24,1  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Breakfast,https://airbnb.com/rooms/46926589?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
12, Charming Upstairs Rittenhouse Square Apt,Entire apartment, Center City,75,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/46005574?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
13, Charming Elegant 1 Bedroom near CC Philadelphia,Entire apartment, Northeast Philadelphia,53,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/39821579?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
14, On the top 228b 2,Private room, West Philadelphia,19,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/21684480?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
15, Cozy Studio in West Philadelphia,Entire apartment, University City,33,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/40172020?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
16, Rest in a Quiet Clean South Philly House ,Private room, South Philadelphia,26,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/44221932?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
17, Two Room Suite   Walk to U of Penn & Museums,Entire townhouse, University City,47,2  , 1  , 2  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/15889897?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
18, Large  bright room  has wood floors,Private room, Northeast Philadelphia,25,1  , 1  , 1  , 1.5 baths,Wifi , Kitchen , Washer , Dryer,https://airbnb.com/rooms/12586405?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
19, Cozy studio Loft,Entire apartment, North Central,37,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/47102710?previous_page_section_name=1000&federated_search_id=39dbdf08-af56-4ddb-808e-6fabc04b8ffc
0, Private Room w  King Bed in Ucity close to UPenn!!,Private room, University City,35,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/41802128?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
1, Cozy studio Loft,Entire apartment, North Central,37,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Free parking , Washer,https://airbnb.com/rooms/47102710?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
2, Nico’s Penthouse  Rooftop Balcony  Near Downtown,Entire guest suite, Poplar,35,8  , 3  , 5  , 2 baths,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/25520798?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
3, Simple  easy and clean,Private room, North Central,20,1  , 1  , 1  , 1 private bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/43714626?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
4, Stylish 1 Bedroom,Entire apartment, Francisville,58,2  , 1  , 1  , 1.5 baths,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/28729174?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
5, On the top 228b 2,Private room, West Philadelphia,19,1  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/21684480?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
6, StayBetter   The Girard   Huge Studio   Kitchen,Entire apartment, Fairmount,58,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/40526918?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
7, Two Room Suite   Walk to U of Penn & Museums,Entire townhouse, University City,47,2  , 1  , 2  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/15889897?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
8, New Listing  Grad Pointe  Rooftop Patio Rec Room Gym  Coffee,Entire apartment, South Philadelphia,103,6  , 3  , 3  , 2 baths,Wifi , Elevator , Self check-in , Breakfast,https://airbnb.com/rooms/47032601?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
9, A Minimalist's Nook in Fairmount,Entire condominium, Francisville,80,2  , 1  , 1  , 1 bath,Wifi , Elevator , Pets allowed , Air conditioning,https://airbnb.com/rooms/46380850?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
10, Traveler's Efficiency Walk to Broad St,Private room, South Philadelphia,34,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/19701723?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
11, The Dreamers Loft   Stylish 1BD in Center City,Entire apartment, Francisville,58,6  , 1  , 3  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/30070942?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
12, PRIVATE SMALL SUITE W  ENTRANCE BATHROOM DRIVEWAY,Entire house, Northwest Philadelphia,50,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/35154224?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
13, Sonder   The Queen   Classic Room,Entire apartment, South Philadelphia,87,2  , Studio , 1  , 1 bath,Wifi , Elevator , Self check-in , Air conditioning,https://airbnb.com/rooms/39222453?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
14, Free Parking guaranteed,Entire townhouse, South Philadelphia,45,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/46068010?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
15, 2 mn walk to green line subway   Free parking,Entire townhouse, Southwest Philadelphia,45,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Indoor fireplace , Air conditioning,https://airbnb.com/rooms/23375263?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
16, Luxury Floor to ceiling Window Condo,Entire condominium, Center City,147,2  , 1  , 1  , 1 bath,Wifi , Gym , Air conditioning , Washer,https://airbnb.com/rooms/46397309?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
17,  Luxury  Downtown Hideaway w  2 Upscale Baths,Private room, Poplar,34,2  , Studio , 1  , 2 baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/39443797?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
18, Super Room in Fabulous  Historic Location!,Private room, Society HIll,29,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Indoor fireplace , Air conditioning,https://airbnb.com/rooms/12685536?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
19,  Modern  Romantic Suite in Boutique Style Building,Entire guest suite, Poplar,46,2  , 1  , 0  , 1 bath,Wifi , Self check-in , Air conditioning , Dishwasher,https://airbnb.com/rooms/37659916?previous_page_section_name=1000&federated_search_id=48cec963-1344-4e49-9c57-f155ab085ae3
0, Private Room w  Queen Bed in Ucity close to UPenn!,Private room, University City,29,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/41801554?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
1, Cozy Studio 3 by UPenn  Drexell  CHOP  Penn Hosp ,Entire apartment, University City,51,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/37216744?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
2, LIVE IN RITTENHOUSE SQUARE! 2BDR   Free Parking!,Entire condominium, Center City,46,6  , 2  , 2  , 1 bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/26427534?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
3, StayBetter   The Girard   Stylish Studio   Kitchen,Entire apartment, Fairmount,65,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/40527902?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
4, ✨ Unique Getaway Home in Philadelphia Manayunk 🏡  ️,Entire apartment, Northwest Philadelphia,68,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/45908815?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
5, Center City Penthouse  w Roof Deck,Entire apartment, Gayborhood,45,6  , 2  , 2  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/39167396?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
6, Garden Suite Near Rittenhouse Square,Private room, South Philadelphia,34,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/19958931?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
7, Peaceful Retreat Close To South Street,Private room, Center City,37,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/19708923?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
8, Budget room #2 Center City South Free Parking,Private room, South Philadelphia,35,2  , 1  , 1  , 1.5 shared baths,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/27576626?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
9, Cozy Room in Art Museum Area,Private room, North Philadelphia,39,4  , 2  , 2  , 1 private bath,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/1914628?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
10,   Historic townhouse   Studio   Rittenhouse Square,Entire apartment, Center City,60,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/45140119?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
11, Luxury Suite in Boutique Style Building,Private room, Poplar,47,2  , Studio , 1  , 1 private bath,Wifi , Self check-in , Air conditioning , Dishwasher,https://airbnb.com/rooms/36542532?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
12, Cityview Master w  Spa Bathroom and Roof Deck,Private room, Point Breeze,45,2  , 1  , 1  , 1 private bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/38902331?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
13, Close to Center City   Newly Renovated Studio 4,Entire apartment, Poplar,71,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/46122722?previous_page_section_name=1000&federated_search_id=6559a725-003c-4790-b57a-cb73d0f23df2
