,0,1,2,3,4,5,6,7,8,9,10
0,title,location,price,guests,bedrooms,beds,bathrooms,amenity_1,amenity_2,amenity_3,amenity_4
0, Capitol Hill Excursion Part four, Capitol Hill,23,1  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Dryer , Washer
1, Urban Studio by International District, Minor,41,2  , Studio , 1  , 1 bath,Wifi , Gym , Air conditioning , Pets allowed
2, Live   Work   Stay   Easy   2BR in Seattle, Belltown,141,5  , 2  , 2  , 2 baths,Wifi , Air conditioning , Dryer , Washer
3, Beautiful  2 Bedroom Apt @Downtown, First Hill,65,6  , 2  , 4  , 1 bath,Wifi , Gym , Pets allowed , Dishwasher
4, A place of your own   1BR in Seattle, Yesler Terrace,106,3  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Dishwasher
5, New!  New bed and tv! Enjoy Quiet and Clean Home!, Riverview,28,1  , 1  , 0  , 1 shared bath,Wifi , Dryer , Washer , Kitchen
6, The Wonder House, Brighton,45,2  , Studio , 6  , 1 bath,Wifi , Gym , Air conditioning , Dryer
7, Corner Unit in the heart of Capitol Hill, Capitol Hill,90,1,1,1,1,Wifi , Breakfast , Pets allowed , Dryer
8, Brand New  Fully restored 1922 Craftsman   Seattle, University District,99,6  , 2  , 3  , 1 bath,Wifi , Self check-in , Kitchen , Free parking
9, Charming Maple Leaf Garden Level Apartment, Maple Leaf,60,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Kitchen,None
10, Blue Nautical Room  10 min drive to downtown, Seattle,20,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Dryer , Washer
11, Vintage Cap Hill Hideaway, Capitol Hill,98,2  , Studio , 1  , 1 bath,Wifi , Pets allowed , Dryer , Washer
12, Classic Cape Cod in a Peaceful Neighborhood, South Delridge,85,4  , 2  , 2  , 1 bath,Wifi , Self check-in , Dishwasher , Kitchen
13, Private Bungalow near Airport, Burien,64,3  , Studio , 1  , 1 private bath,Wifi , Air conditioning , Pets allowed , Kitchen
14, Urban Wildlife studio apt.  Ravenna close to U.W., Ravenna,69,2  , 1  , 1  , 1 bath,Wifi , Elevator , Self check-in , Air conditioning
15, Funky Spacious Studio in Lively Artist Enclave!!!, Belltown,82,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Kitchen
16, Relaxed Garden Cottage Close to Light Rail, North Beacon Hill,80,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Dryer , Washer
17, Capitol Hill Excursion Bed Nook w Privacy curtain, Capitol Hill,20,1  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Dryer , Washer
18, Capitol Hill Excursion, Capitol Hill,26,1  , 1  , 1  , 1 shared bath,Wifi , Gym , Air conditioning , Pets allowed
0, Lovely Historical Apartment  With Great Views!!!, Belltown,91,2  , Studio , 1  , 1 bath,Wifi , Elevator , Self check-in , Air conditioning
1, Urban Studio by International District, Minor,41,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Pets allowed
2, Sunny Tiny House  Deck  Garden & Parking, Magnolia,62,2  , Studio , 1  , 1 bath,Wifi , Elevator , Air conditioning , Dishwasher
3, Downtown Oasis (Parking Included) WS 98, Central Business District,69,4  , 1  , 2  , 1 bath,Wifi , Breakfast , Self check-in , Air conditioning
4, Westlake home with breakfast & walk to waterfront, Westlake,64,2  , 1  , 1  , 1 private bath,Wifi , Self check-in , Dryer , Washer
5, Sunset Hill  Ballard  North Seattle, Ballard,54,4  , 2  , 2  , 1 bath,Wifi , Elevator , Self check-in , Gym
6, Charming City Quarters with Balcony Views, Pike Place Market,101,4  , 1  , 2  , 1 bath,Wifi , Self check-in , Kitchen , Free parking
7, Charming Maple Leaf Garden Level Apartment, Maple Leaf,60,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Dryer , Washer
8, Charming  Private 2 Bed Montlake Suite w  Parking, Capitol Hill,57,4  , 2  , 2  , 1 bath,Wifi , Self check-in , Kitchen , Free parking
9, Private Paris Room: Near Airport & Seattle (#1), Burien,40,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in,None,None
10, Detached Wallingford Studio Apartment, Fremont,55,2  , 1  , 1  , 1 bath,Wifi , Self check-in,None,None
11, Private Room & Entrance in Central Seattle Home, Madrona,55,2  , 1  , 1  , 1 private bath,Wifi , Self check-in , Indoor fireplace , Dryer
12, Studio on the Blvd Airport Light Rail Hot Spot, Tukwila,57,3  , Studio , 2  , 1 bath,Wifi , Self check-in , Air conditioning,None
13, Tiny House Backyard Bungalow Next to Green Lake, Green Lake,81,2  , Studio , 2  , 1 bath,Wifi , Self check-in , Dishwasher , Kitchen
14, Central district charmer with parking spot., Minor,83,2  , Studio , 0  , 1 bath,Wifi , Self check-in , Dryer , Washer
15, The Broadway Apartment Near Downtown Capital Hill, Yesler Terrace,47,4  , Studio , 2  , 1 bath,Wifi , Self check-in , Free parking,None
16, Private Studio Apartment in West Seattle, The Junction,61,2  , 1  , 1  , 1 bath,Wifi , Breakfast , Self check-in , Dryer
17, West Seattle Oasis, North Admiral,55,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Dishwasher
18, Hip Flat. Iconic Downtown. Walk to Pike Place Mkt, Belltown,71,2  , Studio , 1  , 1 bath,Wifi , Elevator , Self check-in , Pets allowed
0, Heart of Capitol Hill Studio 9, Capitol Hill,49,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Dryer , Washer
1, Waterfront & Pikes Place Heart in Downtown Seattle, Central Business District,80,2  , 1  , 0  , 1 bath,Wifi , Pool , Gym , Waterfront
2, Cute Studio and Breakfast with Yard and Nearby Bus, Magnolia,50,2  , Studio , 1  , 1 bath,Wifi , Breakfast , Self check-in , Dishwasher
3, Fully Furnished Studio Apartment, Capitol Hill,80,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Dryer , Washer
4, Panoramic Days in the Heart of Downtown Seattle, Central Business District,85,2  , 1  , 1  , 1 private bath,Wifi , Elevator , Self check-in , Waterfront
5, Downtown Condo. 2BR 2BA. 3 Month Min., Belltown,140,4  , 2  , 2  , 2 baths,Wifi , Elevator , Gym , Air conditioning
6, The Serendipity Room in the CD, Minor,20,1,1,1,1,Wifi , Self check-in , Dryer , Washer
7, Cornflower Blue Bedroom 10mins walk to Downtown, Central Business District,25,1,1,1,1,Wifi , Self check-in , Air conditioning , Dryer
8, Charming  Private 2 Bed Montlake Suite w  Parking, Capitol Hill,57,4  , 2  , 2  , 1 bath,Wifi , Pets allowed , Dryer , Washer
9, Cozy Private Space North Seattle Private Parking, Victory Heights,52,3  , 2  , 3  , 2.5 baths,Wifi , Self check-in , Free parking,None
10, Classic Cape Cod in a Peaceful Neighborhood, South Delridge,85,4  , 2  , 2  , 1 bath,Wifi , Self check-in , Pets allowed , Free parking
11, Greenwood Piano Studio   Clean lines & big windows, Greenwood,33,2  , Studio , 1  , 1 bath,Wifi , Pets allowed , Dishwasher , Dryer
12, North Burien Nest, Seattle,34,2  , 1  , 1  , 1 private bath,Wifi , Gym , Air conditioning , Pets allowed
13, Everything you need   2BR in Shoreline, Shoreline,128,5  , 2  , 2  , 1 bath,Wifi , Gym , Pets allowed , Dryer
